time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,schools_with_sixth_form_capacity_reported,reported_sixth_form_places,sixth_form_pupils_on_roll
202223,Academic year,National,E92000001,England,,,,,,1989,538765,415162
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,76,20390,14279
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,174,43883,33274
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,148,41397,30296
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,184,46513,34707
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,252,57409,43902
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,239,68051,52008
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,400,118163,97756
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,325,88481,70620
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,191,54478,38320
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,129,34082,30414
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,271,84081,67342
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,8,2060,1545
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,12,3689,2460
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,9,1893,1605
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,4,1366,799
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,4,1045,1034
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,2,510,196
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,3,925,569
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,1,220,169
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,3,796,608
202223,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,13,3178,2257
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,1,300,289
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,16,4408,2748
202223,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,1,97,95
202223,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,27,5913,5174
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,4,1025,919
202223,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,10,2254,1560
202223,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,15,4177,3221
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,5,1548,1138
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,x,x,x
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,10,2307,1404
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,3,1020,960
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,1,180,151
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,1,150,150
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,1,300,302
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,11,2988,2780
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,2,550,432
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,2,650,157
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,4,1420,720
202223,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,14,4183,3236
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,6,1650,882
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,1,230,150
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,16,4339,3565
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,14,3012,2424
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,15,3552,2215
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,11,2338,1639
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,1,300,270
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,16,3391,1672
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,8,2436,1730
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,14,4565,4141
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,18,4503,3424
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,5,1578,1330
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,6,2148,1451
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,21,5763,5180
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,7,2101,875
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",4,1250,1229
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,13,3492,1896
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,2,706,290
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,4,608,182
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,24,6942,4991
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,5,1614,1635
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,26,5498,5068
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,10,2363,1611
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,16,6282,4079
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,4,878,711
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,41,9635,7142
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,9,2021,1531
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,36,9545,6905
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,20,4219,3268
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,22,6072,4392
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,59,13642,10226
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,21,3772,3610
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,4,964,623
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,13,2828,2124
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,10,2620,1949
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,17,4008,3381
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,19,4268,2949
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,40,8076,5969
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,4,1200,696
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",2,440,316
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,24,5515,3826
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,7,1272,911
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,7,1716,1568
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,25,7088,5754
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,3,800,530
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,7,2029,1251
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,10,3039,2489
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,18,5104,3200
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,13,3430,2741
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,54,15265,11685
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,10,2998,2802
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,4,1350,1071
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,79,22702,17513
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,24,6549,5154
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,17,4785,3572
202223,Academic year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,36,8942,7959
202223,Academic year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,11,3968,3420
202223,Academic year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,8,2565,1377
202223,Academic year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,5,1424,841
202223,Academic year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,7,1928,1818
202223,Academic year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,1,300,215
202223,Academic year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,2,330,304
202223,Academic year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,7,1870,1080
202223,Academic year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,9,2092,1818
202223,Academic year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,9,2664,2348
202223,Academic year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,8,2352,1789
202223,Academic year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,15,3480,2844
202223,Academic year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,8,2286,2093
202223,Academic year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,92,26916,20246
202223,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,20,4871,3525
202223,Academic year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,4,968,1031
202223,Academic year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,34,8308,6434
202223,Academic year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,28,7263,6835
202223,Academic year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,21,5954,4643
202223,Academic year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,13,3065,2358
202223,Academic year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",10,2745,2841
202223,Academic year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,7,1987,1574
202223,Academic year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,12,3054,2343
202223,Academic year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,14,4714,3608
202223,Academic year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",16,4746,3461
202223,Academic year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,20,5724,4294
202223,Academic year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,8,2600,965
202223,Academic year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,20,5570,3265
202223,Academic year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,16,4479,2499
202223,Academic year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,7,1940,1255
202223,Academic year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,12,3210,1706
202223,Academic year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,26,8377,6522
202223,Academic year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,10,2267,1629
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,z,z,z
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,10,2282,2731
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,14,2948,2424
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,9,2083,1693
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,7,1500,984
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,4,1160,1104
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,14,3142,2243
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,6,1820,1405
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,15,3471,3174
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,14,4600,4110
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,11,3545,3291
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,11,2860,2508
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,6,1995,2004
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,8,2676,2743
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,11,3542,2752
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,13,5007,2741
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,24,6957,5760
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,13,4621,3886
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,15,4660,3782
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,18,7242,5500
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,16,5051,4114
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,16,5317,4549
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,19,5697,4003
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,11,2808,2628
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,6,1890,1647
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,22,5554,4110
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,19,5075,3899
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,10,2881,2679
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,8,1870,1553
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,18,7146,6009
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,10,2260,1836
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,15,4845,4429
202223,Academic year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,7,1658,1465
202122,Academic year,National,E92000001,England,,,,,,2000,538168,415185
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,75,20328,14371
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,178,44792,33688
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,149,41218,30520
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,185,47215,34977
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,252,57593,44245
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,239,67846,52133
202122,Academic year,Regional,E92000001,England,E12000007,London,,,,403,118089,96136
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,327,86775,70084
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,192,54312,39031
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,131,34077,29909
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,272,84012,66227
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,8,2060,1542
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,12,3689,2586
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,8,1883,1504
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,4,1314,809
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,4,1045,1036
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,2,510,266
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,3,925,569
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,1,220,160
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,3,796,579
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,13,3178,2248
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,1,300,308
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,16,4408,2764
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,1,97,78
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,27,5900,5120
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,5,1325,921
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,10,2314,1578
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,15,4177,3241
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,6,1748,1183
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,x,x,x
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,11,2427,1373
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,3,1020,914
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,1,180,134
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,1,150,114
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,1,300,308
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,z,z,z
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,11,3012,2732
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,2,550,450
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,2,650,168
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,4,1420,833
