time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202223,Academic year,National,E92000001,England,,,,,,Total,1077,147887,151887,59775,88112,57988,93899
202223,Academic year,National,E92000001,England,,,,,,Primary,197,22148,22568,22079,69,22495,73
202223,Academic year,National,E92000001,England,,,,,,Secondary,880,125739,129319,37696,88043,35493,93826
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,64,9449,9593,4096,5353,3828,5765
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Primary,15,1778,1785,1778,0,1785,0
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Secondary,49,7671,7808,2318,5353,2043,5765
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Total,169,21493,22976,8773,12720,8603,14373
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Primary,45,5264,5298,5264,0,5295,3
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Secondary,124,16229,17678,3509,12720,3308,14370
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,87,12669,12883,4819,7850,4519,8364
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,13,1681,1719,1680,1,1719,0
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,74,10988,11164,3139,7849,2800,8364
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Total,84,11031,11644,4091,6940,4094,7550
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,10,1093,1152,1093,0,1152,0
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,74,9938,10492,2998,6940,2942,7550
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Total,126,18233,19089,7509,10724,7911,11178
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,36,3680,3936,3641,39,3899,37
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,90,14553,15153,3868,10685,4012,11141
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Total,114,15117,15479,6251,8866,6096,9383
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Primary,10,1100,1109,1100,0,1107,2
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Secondary,104,14017,14370,5151,8866,4989,9381
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Total,155,21118,21268,8470,12648,8079,13189
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Primary,29,3346,3248,3325,21,3229,19
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Secondary,126,17772,18020,5145,12627,4850,13170
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Total,183,26430,26342,10707,15723,10137,16205
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Primary,32,3683,3785,3675,8,3773,12
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Secondary,151,22747,22557,7032,15715,6364,16193
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Total,95,12347,12613,5059,7288,4721,7892
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Primary,7,523,536,523,0,536,0
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Secondary,88,11824,12077,4536,7288,4185,7892
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Total,61,7441,7255,2738,4703,2497,4758
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Primary,9,789,759,789,0,759,0
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Secondary,52,6652,6496,1949,4703,1738,4758
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Total,94,13677,14013,5732,7945,5582,8431
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Primary,20,2557,2489,2536,21,2470,19
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Secondary,74,11120,11524,3196,7924,3112,8412
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Total,6,739,750,369,370,337,413
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Primary,2,250,250,250,0,250,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Secondary,4,489,500,119,370,87,413
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Total,6,1075,997,568,507,462,535
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Primary,1,175,162,175,0,162,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Secondary,5,900,835,393,507,300,535
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Total,6,975,947,366,609,362,585
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Primary,1,128,121,128,0,121,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Secondary,5,847,826,238,609,241,585
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Total,4,625,625,205,420,205,420
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,4,625,625,205,420,205,420
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Total,7,832,960,400,432,399,561
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,3,320,329,320,0,329,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,4,512,631,80,432,70,561
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Total,2,288,299,88,200,96,203
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary,1,88,96,88,0,96,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Secondary,1,200,203,0,200,0,203
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,5,655,648,346,309,328,320
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary,1,95,98,95,0,98,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Secondary,4,560,550,251,309,230,320
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,4,471,471,198,273,198,273
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,4,471,471,198,273,198,273
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,4,662,657,220,442,217,440
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary,2,220,217,220,0,217,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Secondary,2,442,440,0,442,0,440
202223,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Total,9,1671,1662,568,1103,559,1103
202223,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary,2,275,272,275,0,272,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Secondary,7,1396,1390,293,1103,287,1103
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,2,274,344,128,146,161,183
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary,1,42,51,42,0,51,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Secondary,1,232,293,86,146,110,183
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,9,1182,1233,640,542,504,729
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Primary,1,185,189,185,0,189,0
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Secondary,8,997,1044,455,542,315,729
202223,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Total,4,639,677,217,422,194,483
202223,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary,1,100,99,100,0,99,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Secondary,3,539,578,117,422,95,483
202223,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,14,1855,1834,696,1159,652,1182
202223,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary,4,484,463,484,0,463,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Secondary,10,1371,1371,212,1159,189,1182
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,4,477,468,182,295,149,319
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Secondary,4,477,468,182,295,149,319
202223,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,6,689,860,187,502,197,663
202223,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Secondary,6,689,860,187,502,197,663
202223,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,11,1456,1486,671,785,679,807
202223,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Primary,5,660,656,660,0,653,3
202223,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Secondary,6,796,830,11,785,26,804
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,7,989,1035,400,589,382,653
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Primary,2,310,348,310,0,348,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Secondary,5,679,687,90,589,34,653
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,3,421,317,160,261,0,317
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Primary,1,160,0,160,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Secondary,2,261,317,0,261,0,317
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,13,2151,2173,852,1299,842,1331
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Primary,5,662,661,662,0,661,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Secondary,8,1489,1512,190,1299,181,1331
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,6,1250,1348,475,775,440,908
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Primary,2,302,285,302,0,285,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Secondary,4,948,1063,173,775,155,908
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,4,473,657,236,237,266,391
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Primary,2,213,242,213,0,242,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Secondary,2,260,415,23,237,24,391
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,4,861,935,342,519,341,594
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Primary,1,307,309,307,0,309,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Secondary,3,554,626,35,519,32,594
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,8,820,893,289,531,285,608
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Primary,3,263,264,263,0,264,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Secondary,5,557,629,26,531,21,608
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,5,653,783,358,295,375,408
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Primary,2,331,340,331,0,340,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Secondary,3,322,443,27,295,35,408
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,7,686,824,388,298,420,404
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Primary,4,388,420,388,0,420,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Secondary,3,298,404,0,298,0,404
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,6,905,937,383,522,365,572
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Primary,2,188,184,188,0,184,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Secondary,4,717,753,195,522,181,572
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,4,371,426,140,231,163,263
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Primary,1,101,119,101,0,119,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Secondary,3,270,307,39,231,44,263
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,4,406,451,159,247,167,284
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Secondary,4,406,451,159,247,167,284
202223,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Total,29,3085,3463,1347,1738,1409,2054
202223,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Primary,8,701,808,701,0,808,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Secondary,21,2384,2655,646,1738,601,2054
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,3,382,382,134,248,128,254
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Secondary,3,382,382,134,248,128,254
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,4,537,577,223,314,233,344
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Secondary,4,537,577,223,314,233,344
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Total,7,649,623,225,424,207,416
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Secondary,7,649,623,225,424,207,416
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,10,982,1105,379,603,389,716
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Primary,2,94,100,94,0,100,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Secondary,8,888,1005,285,603,289,716
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Total,3,466,437,215,251,213,224
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Secondary,3,466,437,215,251,213,224
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Total,3,290,285,115,175,107,178
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Secondary,3,290,285,115,175,107,178
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,2,403,442,160,243,153,289
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Secondary,2,403,442,160,243,153,289
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Total,7,631,752,368,263,259,493
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Secondary,7,631,752,368,263,259,493
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Total,7,1099,1100,370,729,362,738
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Secondary,7,1099,1100,370,729,362,738
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Total,13,1738,1626,567,1171,542,1084
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Primary,4,427,449,427,0,449,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Secondary,9,1311,1177,140,1171,93,1084
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Total,8,1447,1474,560,887,546,928
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Primary,3,521,514,521,0,514,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Secondary,5,926,960,39,887,32,928
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Total,4,543,536,256,287,243,293
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Primary,2,216,216,216,0,216,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Secondary,2,327,320,40,287,27,293
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Total,7,842,847,279,563,298,549
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Primary,z,z,z,z,z,z,z
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Secondary,7,842,847,279,563,298,549
